name,category,lat,lng,avg_duration_min,budget,opening_hours
Ayasofya Camii,historical,41.008583,28.980175,90,low,09:00-18:00
Topkapı Sarayı Müzesi,historical,41.011520,28.983379,120,medium,09:00-18:00
Yerebatan Sarnıcı,historical,41.008384,28.977878,60,medium,09:00-18:00
Sultan Ahmet Camii,historical,41.005410,28.976814,45,low,09:00-18:00
Sultanahmet Meydanı,historical,41.006329,28.975705,45,low,00:00-23:59
Dolmabahçe Sarayı,historical,41.039164,29.000459,120,high,09:00-18:00
Galata Kulesi,historical,41.025569,28.974129,45,medium,09:00-18:00
İstanbul Boğazı,scenic,41.221313,29.129016,120,low,00:00-23:59
Kız Kulesi,historical,41.021141,29.004131,60,medium,09:00-18:00
Kapalı Çarşı (Grand Bazaar),shopping,41.010685,28.968068,90,medium,10:00-22:00
Eminönü,neighborhood,41.014936,28.965977,60,low,00:00-23:59
Mısır Çarşısı,shopping,41.016500,28.970519,60,medium,10:00-22:00
Taksim Meydanı,entertainment,41.037002,28.985092,60,low,00:00-23:59
Aya İrini Müzesi,historical,41.009610,28.981183,45,medium,09:00-18:00
Rahmi M. Koç Müzesi,entertainment,41.042539,28.949184,90,medium,10:00-20:00
Süleymaniye Camii,historical,41.016047,28.963971,45,low,09:00-18:00
Gülhane Parkı,nature,41.013308,28.981510,90,low,00:00-23:59
Ortaköy Camii,historical,41.047215,29.026948,45,low,09:00-18:00
Yıldız Sarayı,historical,41.050021,29.011557,90,medium,09:00-18:00
Fatih Camii,historical,41.019653,28.949919,45,low,09:00-18:00
Yeni Camii,historical,41.016986,28.971959,30,low,09:00-18:00
Ahrida Sinagogu,historical,41.032883,28.945730,30,low,09:00-18:00
Eyüp Sultan Camii,historical,41.047849,28.933759,45,low,09:00-18:00
Pierre Loti Tepesi,scenic,41.054328,28.933408,60,low,00:00-23:59
Miniatürk,entertainment,41.058993,28.949219,90,medium,10:00-20:00
İstanbul Oyuncak Müzesi,entertainment,40.975973,29.070712,60,medium,10:00-20:00
Türk ve İslam Eserleri Müzesi,entertainment,41.006224,28.974720,75,medium,10:00-20:00
Pera Müzesi,entertainment,41.031854,28.975058,75,medium,10:00-20:00
Sakıp Sabancı Müzesi,entertainment,41.105556,29.056944,90,medium,10:00-20:00
Emirgan Korusu,nature,41.108650,29.053112,120,low,00:00-23:59
Atatürk Arboretumu,nature,41.176626,28.985378,120,low,00:00-23:59
Belgrad Ormanı,nature,41.184012,28.988502,180,low,00:00-23:59
Maçka Demokrasi Parkı,nature,41.044794,28.993057,90,low,00:00-23:59
Polonezköy Tabiat Parkı,nature,41.110617,29.204458,180,low,00:00-23:59
Fenerbahçe Parkı,nature,40.969042,29.036065,90,low,00:00-23:59
Nezahat Gökyiğit Botanik Bahçesi,nature,40.998714,29.120176,90,low,00:00-23:59
Nişantaşı,shopping,41.049464,28.992018,120,high,10:00-22:00
Bebek,scenic,41.077744,29.041629,90,medium,00:00-23:59
Balat,neighborhood,41.029211,28.948498,120,low,00:00-23:59
Rumeli Hisarı,historical,41.084822,29.056698,60,medium,09:00-18:00
Beylerbeyi Sarayı,historical,41.042645,29.039905,90,medium,09:00-18:00
Garipçe,scenic,41.210072,29.106903,90,low,00:00-23:59
Çamlıca Tepesi,scenic,41.028244,29.069162,90,low,00:00-23:59
Anadolu Kavağı,neighborhood,41.173816,29.088682,120,medium,00:00-23:59
Mihrabat Korusu,nature,41.096771,29.068753,90,low,00:00-23:59
Büyükada,scenic,40.856040,29.118710,180,medium,00:00-23:59
Heybeliada,scenic,40.873336,29.089627,180,medium,00:00-23:59
Kınalıada,scenic,40.908056,29.052222,150,medium,00:00-23:59
Burgazada,scenic,40.880000,29.066944,150,medium,00:00-23:59
Küçüksu Kasrı,historical,41.078418,29.064879,60,medium,09:00-18:00
Adile Sultan Sarayı,historical,41.070951,29.057289,90,high,09:00-18:00
Caddebostan Sahili,scenic,40.962217,29.062227,90,low,00:00-23:59
Moda Sahili,scenic,40.980008,29.022831,90,low,00:00-23:59
Kadıköy Boğa Heykeli,neighborhood,40.990468,29.029171,30,low,00:00-23:59
