name,main_category,sub_category,price_level,duration_minutes,lat,lng,district
Hamdi,Yeme-İçme,Dünya Mutfağı,₺,60,41.0171629,28.9698993,İstanbul
Tomb of Hayreddin Barbarossa,Tarih & Kültür,Camii & Türbe,Free,90,41.0419227,29.0068359,İstanbul
Pera Antakya,Yeme-İçme,Dünya Mutfağı,₺,60,41.0309965,28.9748683,İstanbul
Kambur'un Bahçesi,Turistik Deneyim,Seyir Noktası / Heykel,Free,30,41.042587,29.0038953,İstanbul
Erbilgin Yalısı,Turistik Deneyim,Seyir Noktası / Heykel,Free,30,41.1189172,29.0684191,İstanbul
Besteci Faik Canselen'in Evi,Turistik Deneyim,Seyir Noktası / Heykel,Free,30,41.1188112,29.0641646,İstanbul
İTO ESHV Tesisleri,Yeme-İçme,Dünya Mutfağı,₺,60,41.0709509,29.0626164,İstanbul
Serpent Column,Turistik Deneyim,Seyir Noktası / Heykel,Free,30,41.0056649,28.9751101,İstanbul
İskele Restaurant,Yeme-İçme,Dünya Mutfağı,₺,60,41.1217558,29.0708274,İstanbul
Çemberlitaş Hammam,Turistik Deneyim,Seyir Noktası / Heykel,Free,30,41.0085416,28.9716244,İstanbul
Poğaçacı,Yeme-İçme,İtalyan,₺,60,41.0847588,29.0429654,İstanbul
Konyalı Restaurant,Yeme-İçme,Dünya Mutfağı,₺,60,41.013559,28.9858813,İstanbul
Marmara 3 Döner&Kumru,Yeme-İçme,Dünya Mutfağı,₺,60,41.0132362,28.932247,İstanbul
Imroz,Yeme-İçme,Dünya Mutfağı,₺,60,41.0347422,28.9780262,İstanbul
Fishvar,Yeme-İçme,Dünya Mutfağı,₺,60,41.114686,29.058002,İstanbul
Le Caïque,Yeme-İçme,Dünya Mutfağı,₺,60,41.0265461,28.9580915,İstanbul
Cibali,Yeme-İçme,Dünya Mutfağı,₺,60,41.0266817,28.9577591,İstanbul
Sultan Mehmet Restaurant & Cafe,Yeme-İçme,Dünya Mutfağı,₺,60,41.009905,28.9788475,İstanbul
The Port Shield Pub & Restaurant,Yeme-İçme,Dünya Mutfağı,₺,60,41.011978,28.9782237,İstanbul
Mahzen,Yeme-İçme,Dünya Mutfağı,₺,60,41.0338973,28.9780052,İstanbul
