name,category,sub_category,lat,lng,district,opening_hours,budget
Hamdi,Dining,World Cuisine,41.0171629,28.9698993,Fatih,09:00-22:00,Medium
Barbaros Hayrettin Türbesi,History & Culture,Historical Building,41.0419227,29.0068359,Beşiktaş,09:00-22:00,Low
Pera Antakya,Dining,World Cuisine,41.0309965,28.9748683,Beyoğlu,09:00-22:00,Medium
Kanburun Bahçesi,Other,General,41.042587,29.0038953,Beşiktaş,09:00-22:00,Low
Erbilgin Yalısı,Other,General,41.1189172,29.0684191,Beykoz,09:00-22:00,Low
Besteci Faik Canselen'in Evi,Other,General,41.1188112,29.0641646,Beykoz,09:00-22:00,Low
İTO ESHV Tesisleri,Dining,World Cuisine,41.0709509,29.0626164,Ümraniye,09:00-22:00,Medium
Yılanlı Sütun,Other,General,41.0056649,28.9751101,Fatih,09:00-22:00,Low
Iskele Restaurant,Dining,World Cuisine,41.1217558,29.0708274,Beykoz,09:00-22:00,Medium
Çemberlitaş Hamamı,Other,General,41.0085416,28.9716244,Fatih,Mo-Su 06:00-23:30,Low
Poğaçacı,Dining,Pizza,41.0847588,29.0429654,Beşiktaş,09:00-22:00,Medium
Konyalı Restaurant,Dining,World Cuisine,41.013559,28.9858813,Beyoğlu,09:00-22:00,Medium
Marmara 3 Döner&Kumru,Dining,World Cuisine,41.0132362,28.932247,Fatih,09:00-22:00,Medium
Imroz,Dining,World Cuisine,41.0347422,28.9780262,Beyoğlu,09:00-22:00,Medium
Fishvar,Dining,World Cuisine,41.114686,29.058002,Beykoz,09:00-22:00,Medium
Le Caïque,Dining,World Cuisine,41.0265461,28.9580915,Fatih,09:00-22:00,Medium
Cibali,Dining,World Cuisine,41.0266817,28.9577591,Fatih,09:00-22:00,Medium
Sultan Mehmet Restaurant & Cafe,Dining,World Cuisine,41.009905,28.9788475,Fatih,09:00-22:00,Medium
The Port Shield Pub & Restaurant,Dining,World Cuisine,41.011978,28.9782237,Fatih,09:00-22:00,Medium
Mahzen,Dining,World Cuisine,41.0338973,28.9780052,Beyoğlu,09:00-22:00,Medium
Millî Egemenlik Parkı,Nature & Park,Park,41.0002134,28.8517727,Bahçelievler,09:00-22:00,Low
Silivrikapı,Other,General,41.0060826,28.9218299,Zeytinburnu,09:00-22:00,Low
Kız Kulesi,Dining,World Cuisine,41.0211236,29.0040752,Üsküdar,09:00-22:00,Medium
BJK 100 Yıl Kartal Heykeli,History & Culture,Historical Building,41.0435474,29.0041967,Beşiktaş,09:00-22:00,Low
Çam Vadisi,Dining,World Cuisine,41.1776512,29.0955312,Sarıyer,09:00-22:00,Medium
Taskin Kofte,Dining,World Cuisine,41.0708579,29.0425191,Beşiktaş,09:00-22:00,Medium
Hatice Turhan Sultan Türbesi,History & Culture,Historical Building,41.0162025,28.9719047,Fatih,09:00-22:00,Low
Ege Rum Meyhanesi,Dining,Greek,41.0242307,28.9739726,Beyoğlu,09:00-22:00,Medium
Magnaura Sarayı,History & Culture,Historical Building,41.0054477,28.9796589,Fatih,09:00-22:00,Low
Fıccın,Dining,Fish;Turkish,41.0325552,28.9757155,Beyoğlu,09:00-22:00,Medium
Çok Çok Thai Restaurant,Dining,Thai,41.0327089,28.9751817,Beyoğlu,Mo 18:00-23:45; Tu-Su 12:00-23:45,High
Ottaman Burger,Dining,World Cuisine,41.0296393,28.9750264,Beyoğlu,09:00-22:00,Medium
Helvetia,Dining,World Cuisine,41.0290262,28.9740554,Beyoğlu,09:00-22:00,Medium
Falafel Veggie,Dining,World Cuisine,41.0511155,28.9926497,Şişli,09:00-22:00,Medium
Loving Hut,Dining,International,41.0439223,29.002724,Beşiktaş,09:00-22:00,Medium
Akkol,Dining,Turkish,41.0317585,29.2595179,Sancaktepe,09:00-22:00,Medium
Cheers Soul Kitchen,Dining,Turkish_And_International,41.0026967,28.9742648,Fatih,09:00-22:00,Medium
Boukoleon Fish Restaurant,Dining,World Cuisine,41.0029302,28.9755855,Fatih,09:00-22:00,Medium
Sultan’s Inn,Dining,World Cuisine,41.0031733,28.9745331,Fatih,09:00-22:00,Medium
Lacivert,Dining,World Cuisine,41.0913113,29.0666699,Beykoz,09:00-22:00,Medium
Sunset,Dining,World Cuisine,41.0639692,29.0330189,Beşiktaş,09:00-22:00,Medium
Daruzziyafe,Dining,Regional,41.0166939,28.9625453,Fatih,09:00-22:00,Medium
Karakol Restaurant,Dining,Turkish,41.0092963,28.9810833,Fatih,09:00-22:00,Medium
Sarnic Restaurant,Dining,World Cuisine,41.0098698,28.9795524,Fatih,09:00-22:00,Medium
Sofia,Dining,World Cuisine,41.0097888,28.9794451,Fatih,Mo-Su 11:00-23:00,Medium
Giritli,Dining,Greek;Turkish,41.0036587,28.9807319,Fatih,13:00-00:00,Medium
Mangal Keyfi,Dining,Turkish,41.036163,28.979663,Beyoğlu,09:00-22:00,Medium
Allsports Cafe,Dining,International,41.0806378,29.0355521,Beşiktaş,09:00-22:00,Medium
Karaköy Lokantası,Dining,International;Regional;Michelin_Starred,41.0245922,28.980028,Beyoğlu,09:00-22:00,Medium
Ancient Hippodrome Substructure,Other,General,41.004072,28.973413,Fatih,09:00-22:00,Low
Cankurtaran Öğretmenevi,Dining,World Cuisine,41.0041488,28.9821511,Fatih,09:00-22:00,Medium
Mihri,Dining,Turkish,41.0072661,28.9791652,Fatih,09:00-22:00,Medium
Milyon Taşı,History & Culture,Historical Building,41.0080674,28.9780181,Fatih,09:00-22:00,Low
Ming Garden,Dining,Chinese,41.0395558,28.9847147,Beyoğlu,09:00-22:00,Medium
Gaya,Dining,Korean,41.0395385,28.9834201,Beyoğlu,09:00-22:00,Medium
Taksim Karaoke,Dining,Korean,41.0397676,28.985416,Beyoğlu,09:00-22:00,Medium
Udonya Japanese Restaurant,Dining,Japanese,41.0405112,28.9853334,Beyoğlu,Mo-Su 12:00-22:00,High
Cistern Restaurant,Dining,World Cuisine,41.0099971,28.9794755,Fatih,09:00-22:00,Medium
Korean Chinese,Dining,Asian,41.0033965,28.9742599,Fatih,09:00-22:00,Medium
Nostra Casa,Dining,Italian,41.0031267,28.9743156,Fatih,09:00-22:00,Medium
Seoul II Restaurant,Dining,Korean,41.0053655,28.9800889,Fatih,09:00-22:00,Medium
Komün,Dining,Italian,41.0278772,28.9738042,Beyoğlu,09:00-22:00,Medium
Kaşıkçı Pilav,Dining,World Cuisine,41.086955,29.006026,Şişli,09:00-22:00,Medium
Paşa Çadırı,Dining,Turkish,41.049468,29.0762049,Ümraniye,09:00-22:00,Medium
KARDEŞLER LOKANTASI,Dining,World Cuisine,41.0665216,28.973324,Kağıthane,09:00-22:00,Medium
Garipçe Kalesi,History & Culture,Historical Building,41.2140768,29.1106021,Sarıyer,09:00-22:00,Low
Pompeus Sütunu / Roke Kayalıkları,History & Culture,Historical Building,41.23394,29.1157573,Sarıyer,09:00-22:00,Low
